"""filename""","""url""","""description"""
空氣品質監測站位置圖-KML,https://geoser.epa.gov.tw/portal/sharing/rest/content/items/f8bb6373cfd7477a950ff1143bd80ab9/data,顯示環保署設於全國空氣品質監測站位置，包含一般測站、公園測站、工業測站、交通測站及輔助臭氧觀測的背景測站等。
空氣品質監測站位置圖-SHP,https://geoser.epa.gov.tw/portal/sharing/rest/content/items/c19947711c21475e82337af382005aca/data,顯示環保署設於全國空氣品質監測站位置，包含一般測站、公園測站、工業測站、交通測站及輔助臭氧觀測的背景測站等。
