sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
中壢,桃園市,63,細懸浮微粒,普通,1.2,0.7,16.1,15.0,28,20,18.8,24.7,5.8,0.2,221,"2024-01-12 03:00",,0.9,20.2,33,2,121.221667,24.953278,68
龍潭,桃園市,58,細懸浮微粒,普通,0.9,0.27,19.2,25.6,12,15,11.9,12.4,0.5,1.2,124,"2024-01-12 03:00",,0.3,18.2,27,1,121.21645772,24.86400048,21
平鎮,桃園市,65,細懸浮微粒,普通,0.8,0.33,23.2,27.3,29,19,12.8,13.8,1,0.2,178,"2024-01-12 03:00",,0.4,21.3,29,1,121.203986,24.952786,20
觀音,桃園市,62,細懸浮微粒,普通,2,0.31,10.4,22.5,38,21,29.5,30.3,0.8,1.3,98,"2024-01-12 03:00",,0.3,19.8,38,,121.08283092,25.03556747,19
大園,桃園市,48,,良好,2.2,0.33,20.2,25.6,28,17,18.3,19.3,0.9,0.6,189,"2024-01-12 03:00",,0.3,14.7,30,1,121.20251473,25.06100357,18
桃園,桃園市,56,細懸浮微粒,普通,3.1,0.34,20.2,29.0,31,17,16.2,17,0.8,0.4,174,"2024-01-12 03:00",,0.4,17.6,30,2,121.30500531,24.9947107,17
中壢,桃園市,64,細懸浮微粒,普通,0.9,0.65,19.7,14.8,31,20,20.5,25.8,5.3,0.2,188,"2024-01-12 02:00",,1,20.7,34,2,121.221667,24.953278,68
龍潭,桃園市,60,細懸浮微粒,普通,0.7,0.28,28.9,27.2,23,16,10.4,10.8,0.4,0.5,131,"2024-01-12 02:00",,0.3,19,31,1,121.21645772,24.86400048,21
平鎮,桃園市,66,細懸浮微粒,普通,0.8,0.35,24.5,28.0,23,23,15.3,16.5,1.2,0.2,170,"2024-01-12 02:00",,0.4,21.5,30,1,121.203986,24.952786,20
觀音,桃園市,60,細懸浮微粒,普通,3.4,0.31,11.5,24.9,40,13,29.2,30.2,0.9,0.1,30,"2024-01-12 02:00",,0.3,19.2,38,,121.08283092,25.03556747,19
大園,桃園市,46,,良好,2.8,0.28,20.9,26.4,25,11,27.5,28.7,1.1,0.2,79,"2024-01-12 02:00",,0.3,14.3,30,1,121.20251473,25.06100357,18
桃園,桃園市,56,細懸浮微粒,普通,3.5,0.31,32.1,30.3,25,17,11.2,12,0.7,1,67,"2024-01-12 02:00",,0.4,17.7,29,1,121.30500531,24.9947107,17
中壢,桃園市,65,細懸浮微粒,普通,1.9,0.78,17.1,14.7,30,18,23.9,31.1,7.2,0.4,191,"2024-01-12 01:00",,1,21,35,2,121.221667,24.953278,68
龍潭,桃園市,61,細懸浮微粒,普通,1.2,0.31,26.5,26.9,32,19,15,16,0.9,1,135,"2024-01-12 01:00",,0.4,19.4,33,1,121.21645772,24.86400048,21
平鎮,桃園市,65,細懸浮微粒,普通,1.4,0.42,23.7,28.5,28,22,19.2,20.3,1.1,0.3,127,"2024-01-12 01:00",,0.4,21.3,32,1,121.203986,24.952786,20
觀音,桃園市,62,細懸浮微粒,普通,2.6,0.28,23.9,,40,35,19.5,20.5,0.9,1,83,"2024-01-12 01:00",,0.3,20,39,,121.08283092,25.03556747,19
大園,桃園市,50,,良好,1.9,0.3,27.3,28.8,29,16,20.7,22.1,1.3,0.6,44,"2024-01-12 01:00",,0.3,15.4,32,1,121.20251473,25.06100357,18
桃園,桃園市,57,細懸浮微粒,普通,2.7,0.4,27.7,30.4,31,17,18.1,19.4,1.2,0.8,174,"2024-01-12 01:00",,0.4,17.9,31,1,121.30500531,24.9947107,17
中壢,桃園市,66,細懸浮微粒,普通,2.3,0.93,14.4,15.8,32,21,28.6,40.1,11.5,0.2,272,"2024-01-12 00:00",,1,21.4,37,2,121.221667,24.953278,68
龍潭,桃園市,62,細懸浮微粒,普通,1.2,0.36,23.8,28.9,28,19,17.8,18.9,1,1.1,60,"2024-01-12 00:00",,0.4,19.8,33,1,121.21645772,24.86400048,21
平鎮,桃園市,65,細懸浮微粒,普通,1.4,0.45,23.6,31,30,21,22,23.3,1.3,1,98,"2024-01-12 00:00",,0.4,21,33,1,121.203986,24.952786,20
觀音,桃園市,55,細懸浮微粒,普通,2,0.25,31.8,,36,16,15.9,16.9,0.9,2.5,74,"2024-01-12 00:00",,,17.1,39,,121.08283092,25.03556747,19
大園,桃園市,51,細懸浮微粒,普通,1.8,0.31,25.9,31.5,30,12,25.5,27.1,1.5,1.4,49,"2024-01-12 00:00",,0.3,15.5,33,1,121.20251473,25.06100357,18
桃園,桃園市,56,細懸浮微粒,普通,1.5,0.42,27.8,32.0,28,19,18.1,19.5,1.3,1,79,"2024-01-12 00:00",,0.4,17.7,31,1,121.30500531,24.9947107,17
中壢,桃園市,66,細懸浮微粒,普通,2.3,1.17,10.8,17.1,35,24,35.1,56.6,21.4,0.2,249,"2024-01-11 23:00",,1,21.7,38,2,121.221667,24.953278,68
龍潭,桃園市,61,細懸浮微粒,普通,1.3,0.39,25.2,32.0,32,20,19.7,21.2,1.5,1,68,"2024-01-11 23:00",,0.4,19.6,34,1,121.21645772,24.86400048,21
平鎮,桃園市,64,細懸浮微粒,普通,1.3,0.49,27.2,33.5,33,21,19.9,21.2,1.2,0.6,108,"2024-01-11 23:00",,0.4,20.7,33,1,121.203986,24.952786,20
觀音,桃園市,55,細懸浮微粒,普通,2.6,0.34,31.3,,36,18,18.9,19.9,1,3.6,78,"2024-01-11 23:00",,,17.1,40,,121.08283092,25.03556747,19
大園,桃園市,54,細懸浮微粒,普通,1.7,0.29,31.5,34.8,30,14,19.4,20.7,1.3,2,57,"2024-01-11 23:00",,0.3,16.7,35,1,121.20251473,25.06100357,18
桃園,桃園市,56,細懸浮微粒,普通,1.3,0.42,30.6,34.5,27,17,17.1,18.5,1.3,1.2,94,"2024-01-11 23:00",,0.4,17.6,31,1,121.30500531,24.9947107,17
中壢,桃園市,65,細懸浮微粒,普通,2.4,1.27,12.5,19.1,38,21,36.6,59.8,23.2,0.3,290,"2024-01-11 22:00",,0.9,21,38,2,121.221667,24.953278,68
龍潭,桃園市,61,細懸浮微粒,普通,1.3,0.45,23.6,35.1,32,19,22.9,25.4,2.4,1.2,68,"2024-01-11 22:00",,0.4,19.7,35,1,121.21645772,24.86400048,21
平鎮,桃園市,65,細懸浮微粒,普通,1.3,0.52,29.3,35.6,29,22,20.4,22,1.6,1.7,84,"2024-01-11 22:00",,0.4,21.3,34,1,121.203986,24.952786,20
觀音,桃園市,52,細懸浮微粒,普通,2.8,0.36,26.1,,41,19,22.1,23.2,1.1,2.6,73,"2024-01-11 22:00",,,16.1,40,,121.08283092,25.03556747,19
大園,桃園市,55,細懸浮微粒,普通,2.3,0.35,25.6,37.3,31,16,29,30.8,1.7,2.1,43,"2024-01-11 22:00",,0.3,17.3,36,1,121.20251473,25.06100357,18
桃園,桃園市,57,細懸浮微粒,普通,1.9,0.44,32,36.6,29,18,17.6,19.1,1.4,1.2,68,"2024-01-11 22:00",,0.4,17.9,33,2,121.30500531,24.9947107,17
中壢,桃園市,65,細懸浮微粒,普通,2.4,1.28,12.7,21.5,38,19,36.1,69.8,33.6,0.4,288,"2024-01-11 21:00",,0.8,21.2,39,2,121.221667,24.953278,68
龍潭,桃園市,62,細懸浮微粒,普通,1.4,0.46,26.3,38.4,32,21,22.4,24.3,1.8,1.3,79,"2024-01-11 21:00",,0.3,20.1,36,1,121.21645772,24.86400048,21
平鎮,桃園市,66,細懸浮微粒,普通,1.3,0.48,34,38.0,33,18,17.1,18.9,1.7,2.2,94,"2024-01-11 21:00",,0.4,21.5,36,1,121.203986,24.952786,20
觀音,桃園市,52,細懸浮微粒,普通,,,,,40,19,,,,3.3,71,"2024-01-11 21:00",,,16.1,41,,121.08283092,25.03556747,19
大園,桃園市,56,細懸浮微粒,普通,2.5,0.35,21.7,40.5,36,17,32.3,35.4,3.1,1.7,43,"2024-01-11 21:00",,0.2,17.7,37,1,121.20251473,25.06100357,18
桃園,桃園市,56,細懸浮微粒,普通,1.8,0.47,31.6,38.5,32,16,19,20.7,1.6,1.9,71,"2024-01-11 21:00",,0.4,17.7,35,2,121.30500531,24.9947107,17
中壢,桃園市,66,細懸浮微粒,普通,2.4,1.09,16.3,24.2,36,24,33,56.2,23.1,0.5,295,"2024-01-11 20:00",,0.7,21.7,40,2,121.221667,24.953278,68
龍潭,桃園市,63,細懸浮微粒,普通,1.5,0.41,31.6,41.1,36,18,20.3,21.6,1.2,2.5,66,"2024-01-11 20:00",,0.3,20.4,38,1,121.21645772,24.86400048,21
平鎮,桃園市,69,細懸浮微粒,普通,1.4,0.49,33.2,39.5,32,19,18.7,21.3,2.6,3.2,82,"2024-01-11 20:00",,0.4,23,36,1,121.203986,24.952786,20
觀音,桃園市,51,細懸浮微粒,普通,,,,,36,19,,,,,,"2024-01-11 20:00",,0.2,15.6,41,,121.08283092,25.03556747,19
大園,桃園市,57,細懸浮微粒,普通,1.9,0.33,31.8,44.0,38,18,20.5,22.3,1.8,2.2,57,"2024-01-11 20:00",,0.2,18.1,38,1,121.20251473,25.06100357,18
桃園,桃園市,58,細懸浮微粒,普通,2.2,0.5,30.3,40.4,33,19,20.4,22.5,2,2.1,62,"2024-01-11 20:00",,0.4,18.4,36,2,121.30500531,24.9947107,17
中壢,桃園市,66,細懸浮微粒,普通,2.8,1.14,15.2,25.6,39,19,35.6,65.2,29.6,0.6,279,"2024-01-11 19:00",,0.7,21.6,41,2,121.221667,24.953278,68
龍潭,桃園市,66,細懸浮微粒,普通,1.6,0.43,31.5,42.5,36,20,22.6,24.1,1.5,3.2,70,"2024-01-11 19:00",,0.3,21.6,39,1,121.21645772,24.86400048,21
平鎮,桃園市,72,細懸浮微粒,普通,1.8,0.58,28.7,40.8,38,25,24.4,27.7,3.3,3,83,"2024-01-11 19:00",,0.4,23.9,38,1,121.203986,24.952786,20
觀音,桃園市,46,,良好,,,,50.0,37,11,,,,,,"2024-01-11 19:00",,0.2,14.1,43,,121.08283092,25.03556747,19
大園,桃園市,57,細懸浮微粒,普通,,,,45.6,,,,,,,,"2024-01-11 19:00",,0.2,18,38,1,121.20251473,25.06100357,18
桃園,桃園市,59,細懸浮微粒,普通,,0.52,,42.0,36,19,,,,2.3,69,"2024-01-11 19:00",,0.4,18.6,36,2,121.30500531,24.9947107,17
中壢,桃園市,68,細懸浮微粒,普通,2.7,0.94,18.6,27.0,40,21,35,57.7,22.6,0.3,329,"2024-01-11 18:00",,0.6,22.4,42,2,121.221667,24.953278,68
龍潭,桃園市,67,細懸浮微粒,普通,,,,43.8,,,,,,,,"2024-01-11 18:00",,0.3,21.8,39,1,121.21645772,24.86400048,21
平鎮,桃園市,70,細懸浮微粒,普通,,,,42.1,,,,,,,,"2024-01-11 18:00",,0.3,23.1,39,1,121.203986,24.952786,20
觀音,桃園市,49,,良好,,,,50.0,46,21,,,,3.2,66,"2024-01-11 18:00",,0.2,15,44,,121.08283092,25.03556747,19
大園,桃園市,58,細懸浮微粒,普通,2,0.31,37.8,44.6,36,17,18.7,20.8,2.1,3.1,66,"2024-01-11 18:00",,0.2,18.3,39,1,121.20251473,25.06100357,18
桃園,桃園市,60,細懸浮微粒,普通,2.1,0.56,32.6,41.3,36,15,19.4,21.9,2.5,2.8,59,"2024-01-11 18:00",,0.4,19,37,2,121.30500531,24.9947107,17
中壢,桃園市,69,細懸浮微粒,普通,2.7,0.67,26,27.9,44,20,28.9,42.5,13.5,1.1,14,"2024-01-11 17:00",,0.6,23,42,2,121.221667,24.953278,68
龍潭,桃園市,65,細懸浮微粒,普通,1.9,0.37,40.6,42.8,43,21,18.6,20.9,2.3,3.4,54,"2024-01-11 17:00",,0.3,21.2,40,1,121.21645772,24.86400048,21
平鎮,桃園市,71,細懸浮微粒,普通,1.6,0.43,41,41.2,36,23,16.3,19.1,2.7,2.7,37,"2024-01-11 17:00",,0.3,23.5,39,1,121.203986,24.952786,20
觀音,桃園市,46,,良好,,,,50.0,,,,,,,,"2024-01-11 17:00",,0.2,,,,121.08283092,25.03556747,19
大園,桃園市,60,細懸浮微粒,普通,1.2,0.29,46,43.8,39,18,11.8,13.8,2,6.1,30,"2024-01-11 17:00",,0.2,19,40,1,121.20251473,25.06100357,18
桃園,桃園市,62,細懸浮微粒,普通,1.7,0.43,38.8,41.5,37,20,15.3,17.8,2.5,2.3,39,"2024-01-11 17:00",,0.3,19.9,37,2,121.30500531,24.9947107,17
中壢,桃園市,71,細懸浮微粒,普通,2.7,0.71,24.5,27.4,45,21,33.5,51.5,17.9,0.8,305,"2024-01-11 16:00",,0.6,23.8,41,2,121.221667,24.953278,68
龍潭,桃園市,66,細懸浮微粒,普通,1.9,0.35,45.6,41.6,41,23,16.3,18.6,2.3,3.7,66,"2024-01-11 16:00",,0.3,21.7,39,1,121.21645772,24.86400048,21
平鎮,桃園市,72,細懸浮微粒,普通,1.6,0.39,40.9,39.9,39,22,16.8,20,3.1,2.6,77,"2024-01-11 16:00",,0.4,24.1,40,1,121.203986,24.952786,20
觀音,桃園市,46,,良好,,0.23,52.5,50.0,42,12,5.3,6.6,1.2,6.1,38,"2024-01-11 16:00",,0.2,,,,121.08283092,25.03556747,19
大園,桃園市,60,細懸浮微粒,普通,1.2,0.27,49,41.7,30,15,9.9,12.3,2.3,7.2,28,"2024-01-11 16:00",,0.2,19.2,40,1,121.20251473,25.06100357,18
桃園,桃園市,61,細懸浮微粒,普通,1.7,0.38,45.7,40.2,35,19,12.6,15.1,2.4,2.7,40,"2024-01-11 16:00",,0.4,19.5,37,2,121.30500531,24.9947107,17
中壢,桃園市,72,細懸浮微粒,普通,2.8,0.6,27.1,26.5,42,22,27.8,47,19.2,0.9,348,"2024-01-11 15:00",,0.6,24.1,41,2,121.221667,24.953278,68
龍潭,桃園市,65,細懸浮微粒,普通,1.9,0.36,46.5,39.8,37,20,14.5,16.9,2.3,3,48,"2024-01-11 15:00",,0.3,21.3,38,1,121.21645772,24.86400048,21
平鎮,桃園市,73,細懸浮微粒,普通,1.6,0.34,42.4,38.2,42,19,14.6,17.7,3.1,2.9,26,"2024-01-11 15:00",,0.4,24.4,39,1,121.203986,24.952786,20
觀音,桃園市,7,,良好,,0.23,51.6,,41,15,4.9,6.2,1.3,5.9,41,"2024-01-11 15:00",,0.2,,,,121.08283092,25.03556747,19
大園,桃園市,64,細懸浮微粒,普通,1,0.27,49.1,38.0,40,17,9.4,11.5,2,8,29,"2024-01-11 15:00",,0.3,20.7,42,1,121.20251473,25.06100357,18
桃園,桃園市,61,細懸浮微粒,普通,1.9,0.38,45.5,38.0,36,20,11.7,14.4,2.6,2.5,54,"2024-01-11 15:00",,0.4,19.5,37,2,121.30500531,24.9947107,17
中壢,桃園市,73,細懸浮微粒,普通,2.6,0.54,31.4,25.8,34,23,25.1,38.6,13.5,1,325,"2024-01-11 14:00",,0.6,24.3,41,2,121.221667,24.953278,68
龍潭,桃園市,66,細懸浮微粒,普通,1.8,0.34,46.8,38.3,39,16,12.9,14.9,2,3.7,35,"2024-01-11 14:00",,0.3,21.7,39,1,121.21645772,24.86400048,21
平鎮,桃園市,75,細懸浮微粒,普通,1.7,0.36,46,36.9,34,22,12.1,15.5,3.4,2.9,17,"2024-01-11 14:00",,0.4,25.3,39,1,121.203986,24.952786,20
觀音,桃園市,7,,良好,,0.23,50.4,,51,14,4.5,5.7,1.1,6.4,44,"2024-01-11 14:00",,,,,,121.08283092,25.03556747,19
大園,桃園市,66,細懸浮微粒,普通,0.9,0.27,48.1,35.1,43,20,8.3,10.4,2,7.2,27,"2024-01-11 14:00",,0.3,21.7,43,1,121.20251473,25.06100357,18
桃園,桃園市,61,細懸浮微粒,普通,1.8,0.37,45.3,36.3,39,19,10.9,13.7,2.7,2.6,63,"2024-01-11 14:00",,0.4,19.6,39,2,121.30500531,24.9947107,17
中壢,桃園市,74,細懸浮微粒,普通,2.9,0.52,34.2,25.7,41,24,21.3,31.6,10.2,1.5,18,"2024-01-11 13:00",,0.5,25,43,2,121.221667,24.953278,68
龍潭,桃園市,71,細懸浮微粒,普通,1.6,0.32,45,37.4,35,22,13,15.9,2.8,4.8,56,"2024-01-11 13:00",,0.3,23.5,40,1,121.21645772,24.86400048,21
平鎮,桃園市,79,細懸浮微粒,普通,1.6,0.39,44.6,35.6,38,25,12.5,16.2,3.7,2.6,66,"2024-01-11 13:00",,0.4,26.9,42,1,121.203986,24.952786,20
觀音,桃園市,7,,良好,,0.22,49,,43,15,4.8,6.2,1.4,7.2,40,"2024-01-11 13:00",,,,,,121.08283092,25.03556747,19
大園,桃園市,69,細懸浮微粒,普通,1.3,0.26,46.3,33.5,36,16,9.8,12.4,2.6,8.6,21,"2024-01-11 13:00",,0.3,22.7,44,1,121.20251473,25.06100357,18
桃園,桃園市,64,細懸浮微粒,普通,1.7,0.36,44.9,35.1,29,16,11.1,14.2,3,3.3,61,"2024-01-11 13:00",,0.4,20.6,40,2,121.30500531,24.9947107,17
中壢,桃園市,77,細懸浮微粒,普通,2.5,0.58,27.8,26.2,39,21,24.2,40.6,16.4,1.2,287,"2024-01-11 12:00",,0.5,26.2,44,2,121.221667,24.953278,68
龍潭,桃園市,74,細懸浮微粒,普通,1.6,0.33,41.8,37.1,34,18,13.1,16,2.8,4.8,65,"2024-01-11 12:00",,0.3,24.8,42,1,121.21645772,24.86400048,21
平鎮,桃園市,82,細懸浮微粒,普通,1.6,0.39,42,35.0,35,21,12.7,16.5,3.8,4,78,"2024-01-11 12:00",,0.4,28.2,44,1,121.203986,24.952786,20
觀音,桃園市,10,,良好,0.1,0.23,46.6,,54,7,6.4,8.2,1.8,7.2,45,"2024-01-11 12:00",,,,,,121.08283092,25.03556747,19
大園,桃園市,73,細懸浮微粒,普通,1.5,0.27,42.9,32.8,40,21,12,15.8,3.7,6.8,30,"2024-01-11 12:00",,0.3,24.4,46,1,121.20251473,25.06100357,18
桃園,桃園市,67,細懸浮微粒,普通,1.8,0.37,41,33.6,34,16,12.3,16.2,3.8,3.5,57,"2024-01-11 12:00",,0.4,22,43,2,121.30500531,24.9947107,17
中壢,桃園市,81,細懸浮微粒,普通,2.8,0.6,26,27.6,45,21,25.1,43.1,17.9,1.1,30,"2024-01-11 11:00",,0.5,27.8,46,2,121.221667,24.953278,68
龍潭,桃園市,78,細懸浮微粒,普通,1.7,0.33,40,37.6,39,22,12.2,15.1,2.8,5.3,67,"2024-01-11 11:00",,0.3,26.5,43,1,121.21645772,24.86400048,21
平鎮,桃園市,86,細懸浮微粒,普通,1.7,0.41,38,34.8,41,22,13.8,18.4,4.5,2.9,53,"2024-01-11 11:00",,0.4,29.7,46,1,121.203986,24.952786,20
觀音,桃園市,-1,,,,,,,,,,,,6.3,49,"2024-01-11 11:00",,,,,,121.08283092,25.03556747,19
大園,桃園市,75,細懸浮微粒,普通,2.4,0.29,37.2,32.7,44,19,15,21.2,6.1,6.3,33,"2024-01-11 11:00",,0.3,25.3,48,1,121.20251473,25.06100357,18
桃園,桃園市,72,細懸浮微粒,普通,1.8,0.4,36.6,33.0,42,18,13.6,18.3,4.6,3.2,41,"2024-01-11 11:00",,0.4,23.9,44,2,121.30500531,24.9947107,17
中壢,桃園市,85,細懸浮微粒,普通,2.9,0.59,26.1,29.1,42,25,22.2,35.6,13.4,1.5,9,"2024-01-11 10:00",,0.5,29.5,47,2,121.221667,24.953278,68
龍潭,桃園市,80,細懸浮微粒,普通,1.5,0.36,35.8,38.3,42,25,15,18.7,3.7,5.5,63,"2024-01-11 10:00",,0.3,27.2,44,1,121.21645772,24.86400048,21
平鎮,桃園市,90,細懸浮微粒,普通,2.2,0.46,34.4,35.3,47,31,15.4,19.8,4.4,3.8,75,"2024-01-11 10:00",,0.4,31.3,47,1,121.203986,24.952786,20
觀音,桃園市,-1,,,,,,,,,,,,,,"2024-01-11 10:00",,,,,,121.08283092,25.03556747,19
大園,桃園市,80,細懸浮微粒,普通,1.8,0.33,32,32.9,49,22,19.6,26.3,6.7,4.4,45,"2024-01-11 10:00",,0.3,27.2,49,1,121.20251473,25.06100357,18
桃園,桃園市,76,細懸浮微粒,普通,2.1,0.43,33.9,32.9,46,21,14.3,19,4.7,3.1,52,"2024-01-11 10:00",,0.4,25.7,45,2,121.30500531,24.9947107,17
中壢,桃園市,90,細懸浮微粒,普通,2.8,0.68,22,30.8,47,30,24.1,39.4,15.2,1.8,31,"2024-01-11 09:00",,0.4,31.2,48,2,121.221667,24.953278,68
龍潭,桃園市,81,細懸浮微粒,普通,1.4,0.4,31.4,39.7,44,28,15.2,18.8,3.6,4.8,57,"2024-01-11 09:00",,0.3,27.6,45,1,121.21645772,24.86400048,21
平鎮,桃園市,92,細懸浮微粒,普通,2,0.51,30.8,36.3,43,33,18.2,23.1,4.9,3.7,52,"2024-01-11 09:00",,0.4,32.3,48,1,121.203986,24.952786,20
觀音,桃園市,-1,,,,,,,,,,,,,,"2024-01-11 09:00",,,,,,121.08283092,25.03556747,19
大園,桃園市,83,細懸浮微粒,普通,2,0.34,28.9,33,46,22,19.6,26.8,7.1,4.2,49,"2024-01-11 09:00",,0.3,28.4,49,1,121.20251473,25.06100357,18
桃園,桃園市,78,細懸浮微粒,普通,2.2,0.54,29.1,33.4,46,21,17.8,23.1,5.3,3.3,42,"2024-01-11 09:00",,0.4,26.5,45,2,121.30500531,24.9947107,17
中壢,桃園市,90,細懸浮微粒,普通,2.6,0.78,17.1,32.9,43,29,28.5,52.3,23.7,1.2,40,"2024-01-11 08:00",,0.4,31.2,49,2,121.221667,24.953278,68
龍潭,桃園市,82,細懸浮微粒,普通,1.7,0.38,31.2,41.9,42,26,14.7,17,2.3,5.1,53,"2024-01-11 08:00",,0.3,27.9,46,1,121.21645772,24.86400048,21
平鎮,桃園市,93,細懸浮微粒,普通,1.7,0.61,27.3,38.1,45,27,20.2,24.4,4.1,2.7,57,"2024-01-11 08:00",,0.4,32.6,49,1,121.203986,24.952786,20
觀音,桃園市,-1,,,,,,,,,,,,,,"2024-01-11 08:00",,,,,,121.08283092,25.03556747,19
大園,桃園市,86,細懸浮微粒,普通,2.3,0.39,19.3,33.6,57,26,33.8,40,6.1,3.2,49,"2024-01-11 08:00",,0.3,29.8,49,1,121.20251473,25.06100357,18
桃園,桃園市,81,細懸浮微粒,普通,2,0.56,27.6,34.6,38,24,16.9,20.4,3.4,2.4,38,"2024-01-11 08:00",,0.4,27.5,46,1,121.30500531,24.9947107,17
中壢,桃園市,91,細懸浮微粒,普通,2.7,0.55,21.7,35.1,49,30,23.8,39.3,15.5,1.1,10,"2024-01-11 07:00",,0.4,31.7,51,1,121.221667,24.953278,68
龍潭,桃園市,84,細懸浮微粒,普通,1.6,0.33,34.5,44.3,39,24,11.5,12.8,1.3,3.9,53,"2024-01-11 07:00",,0.3,28.7,48,1,121.21645772,24.86400048,21
平鎮,桃園市,97,細懸浮微粒,普通,1.6,0.45,32.1,40.3,45,29,14,15.7,1.6,2.7,57,"2024-01-11 07:00",,0.3,34,50,1,121.203986,24.952786,20
觀音,桃園市,-1,,,,,,,,,,,,,,"2024-01-11 07:00",,,,,,121.08283092,25.03556747,19
大園,桃園市,89,細懸浮微粒,普通,1.8,0.38,26.1,36.0,46,27,26.7,29,2.3,3.3,55,"2024-01-11 07:00",,0.3,31,48,1,121.20251473,25.06100357,18
桃園,桃園市,83,細懸浮微粒,普通,1.8,0.4,32.3,35.5,41,25,11.4,13,1.5,2.3,43,"2024-01-11 07:00",,0.3,28.3,48,1,121.30500531,24.9947107,17
中壢,桃園市,92,細懸浮微粒,普通,2.6,0.41,31,36.2,42,29,12.9,16.6,3.7,1.2,53,"2024-01-11 06:00",,0.5,32.2,51,1,121.221667,24.953278,68
龍潭,桃園市,87,細懸浮微粒,普通,1.8,0.31,39.2,45.7,46,26,8.7,9.9,1.2,4.4,54,"2024-01-11 06:00",,0.3,30,51,1,121.21645772,24.86400048,21
平鎮,桃園市,99,細懸浮微粒,普通,1.5,0.37,35.9,41.5,49,32,9.7,10.9,1.2,2.8,55,"2024-01-11 06:00",,0.3,35.1,51,1,121.203986,24.952786,20
觀音,桃園市,-1,,,,,,,,,,,,,,"2024-01-11 06:00",,,,,,121.08283092,25.03556747,19
大園,桃園市,93,細懸浮微粒,普通,1.3,0.33,35,37.9,42,25,13,14.3,1.2,3.4,65,"2024-01-11 06:00",,0.3,32.6,50,1,121.20251473,25.06100357,18
桃園,桃園市,86,細懸浮微粒,普通,1.6,0.37,35.2,36.1,44,26,9.1,10.2,1.1,2.2,39,"2024-01-11 06:00",,0.3,29.6,51,2,121.30500531,24.9947107,17
中壢,桃園市,95,細懸浮微粒,普通,2.7,0.34,38,35.4,47,28,7.7,9.1,1.4,1.3,16,"2024-01-11 05:00",,0.5,33.5,54,1,121.221667,24.953278,68
龍潭,桃園市,91,細懸浮微粒,普通,1.8,0.3,43,46.8,48,29,7.7,8.6,0.8,4.2,53,"2024-01-11 05:00",,0.3,31.7,52,1,121.21645772,24.86400048,21
平鎮,桃園市,102,細懸浮微粒,對敏感族群不健康,1.8,0.35,39.3,42.4,47,32,7.7,8.8,1.1,2.7,56,"2024-01-11 05:00",,0.3,35.7,52,1,121.203986,24.952786,20
觀音,桃園市,-1,,,,,,,,,,,,,,"2024-01-11 05:00",,,,,,121.08283092,25.03556747,19
大園,桃園市,100,細懸浮微粒,普通,0.9,0.31,41.2,,47,28,8.3,9.2,0.8,4,59,"2024-01-11 05:00",,0.3,35.2,53,1,121.20251473,25.06100357,18
桃園,桃園市,91,細懸浮微粒,普通,1.8,0.35,33.5,36.3,45,23,8.1,9.3,1.2,1.8,44,"2024-01-11 05:00",,0.3,31.7,52,2,121.30500531,24.9947107,17
中壢,桃園市,100,細懸浮微粒,普通,2.6,0.33,38.8,33.1,52,28,7.3,8.9,1.6,1,337,"2024-01-11 04:00",,0.7,35.4,56,1,121.221667,24.953278,68
龍潭,桃園市,96,細懸浮微粒,普通,2,0.31,45.8,47.5,53,28,7,7.6,0.6,4.4,60,"2024-01-11 04:00",,0.3,33.6,54,1,121.21645772,24.86400048,21
平鎮,桃園市,105,細懸浮微粒,對敏感族群不健康,1.7,0.34,41,43.1,42,32,7.9,8.7,0.8,3.5,67,"2024-01-11 04:00",,0.3,36.9,55,1,121.203986,24.952786,20
觀音,桃園市,-1,,,,,,,,,,,,,,"2024-01-11 04:00",,,,,,121.08283092,25.03556747,19
大園,桃園市,106,細懸浮微粒,對敏感族群不健康,0.9,0.32,41.6,,48,33,10.1,11,0.8,4,63,"2024-01-11 04:00",,,37.6,55,1,121.20251473,25.06100357,18
桃園,桃園市,97,細懸浮微粒,普通,2.3,0.34,36,,49,26,8,9.1,1.1,2.5,47,"2024-01-11 04:00",,0.3,34.3,54,2,121.30500531,24.9947107,17
中壢,桃園市,107,細懸浮微粒,對敏感族群不健康,2.6,0.39,38.4,30.4,48,29,8.7,10.5,1.8,1.1,21,"2024-01-11 03:00",,0.8,37.7,58,1,121.221667,24.953278,68
龍潭,桃園市,100,細懸浮微粒,普通,2.1,0.3,45.6,48.3,51,25,7.2,7.6,0.4,5.6,71,"2024-01-11 03:00",,0.3,35.3,54,1,121.21645772,24.86400048,21
平鎮,桃園市,110,細懸浮微粒,對敏感族群不健康,1.8,0.35,41.4,42.1,49,32,8,8.7,0.6,2.8,64,"2024-01-11 03:00",,0.4,38.9,58,1,121.203986,24.952786,20
觀音,桃園市,-1,,,,,,,,,,,,,,"2024-01-11 03:00",,,,,,121.08283092,25.03556747,19
大園,桃園市,110,細懸浮微粒,對敏感族群不健康,1.2,0.34,38.8,,48,34,13.5,14.3,0.8,4.2,69,"2024-01-11 03:00",,,39.1,56,1,121.20251473,25.06100357,18
